dataset,model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
EN,qwen3,QLoRA nf4,q+k+v,8,9.008397925,2.446320057,0.406107813,0.914027503,0.914210526,3000
EN,qwen3,QLoRA nf4,q+k+v,16,8.882506875,2.469955921,0.384617984,0.918450941,0.918684211,3000
EN,qwen3,QLoRA nf4,q+k+v,32,8.946062092,2.509903431,0.362537742,0.919893487,0.920131579,3000
EN,qwen3,QLoRA nf4,q+k+v+o,4,9.328467715,2.600849628,0.404741794,0.91160278,0.911842105,3000
EN,qwen3,QLoRA nf4,q+k+v+o,8,9.29479965,2.621761799,0.383236676,0.916762269,0.916973684,3000
EN,qwen3,QLoRA nf4,q+k+v+o,16,9.252978381,2.654308796,0.377703041,0.918361591,0.918684211,3000
EN,qwen3,QLoRA nf4,q+k+v+o,32,9.343556694,2.714275837,0.364318401,0.923322057,0.923552632,3000
EN,qwen3,QLoRA fp4,q+v,4,8.581637498,2.349461079,0.43324694,0.905896208,0.906184211,3000
EN,qwen3,QLoRA fp4,q+v,8,8.573678764,2.354420185,0.415067524,0.908764271,0.908947368,3000
EN,qwen3,QLoRA fp4,q+v,16,8.551862939,2.371174335,0.404210448,0.913971156,0.914210526,3000
EN,qwen3,QLoRA fp4,q+v,32,8.599360184,2.402973652,0.397886217,0.918596765,0.918815789,3000
EN,qwen3,QLoRA fp4,q+k+v,4,8.993783919,2.435234547,0.425184637,0.905837167,0.906052632,3000
EN,qwen3,QLoRA fp4,q+k+v,8,8.990693275,2.449493885,0.419843823,0.908457161,0.908684211,3000
EN,qwen3,QLoRA fp4,q+k+v,16,8.952303684,2.470932484,0.408538759,0.912423938,0.912631579,3000
EN,qwen3,QLoRA fp4,q+k+v,32,9.033458877,2.516495228,0.392183512,0.918489771,0.918684211,3000
EN,qwen3,QLoRA fp4,q+k+v+o,4,9.420661068,2.606953144,0.419776171,0.905875427,0.906052632,3000
EN,qwen3,QLoRA fp4,q+k+v+o,8,9.397456046,2.620785236,0.397007346,0.91245882,0.912763158,3000
EN,qwen3,QLoRA fp4,q+k+v+o,16,9.337225465,2.650890827,0.376982063,0.917299493,0.9175,3000
EN,qwen3,QLoRA fp4,q+k+v+o,32,9.429254683,2.715740681,0.374134809,0.920583861,0.920789474,3000
EN,qwen3,baseline,,,1.952276993,4.591526031,0.49609375,0.819726831,0.819868421,1500
EN,qwen3,LoRA,q+v,4,3.963313834,3.115234375,0.443603516,0.90209046,0.902236842,1500
EN,qwen3,LoRA,q+v,8,3.967567035,3.26171875,0.422119141,0.904493303,0.904605263,1500
EN,qwen3,LoRA,q+v,16,3.93547521,3.5,0.527832031,0.896449966,0.896710526,1500
EN,qwen3,LoRA,q+v,32,4.032133798,3.123046875,0.375732422,0.913563151,0.913684211,1500
EN,qwen3,LoRA,q+k+v,4,4.300955693,3.271484375,0.458984375,0.890922058,0.891184211,1500
EN,qwen3,LoRA,q+k+v,8,4.315288333,3.515625,0.439208984,0.902019744,0.902368421,1500
EN,qwen3,LoRA,q+k+v,16,4.261682614,3.13671875,0.417480469,0.905497,0.905789474,1500
EN,qwen3,LoRA,q+k+v,32,4.406974657,3.29296875,0.413574219,0.907887319,0.908157895,1500
EN,qwen3,LoRA,q+k+v+o,4,4.674155279,3.544921875,0.430419922,0.902145754,0.9025,1500
EN,qwen3,LoRA,q+k+v+o,8,4.661773876,3.166015625,0.412353516,0.906489424,0.906710526,1500
EN,qwen3,LoRA,q+k+v+o,16,4.628384443,3.333984375,0.393066406,0.909454417,0.909605263,1500
EN,qwen3,LoRA,q+k+v+o,32,4.857480009,3.603515625,0.374267578,0.913908689,0.914210526,1500
EN,qwen3,QLoRA nf4,q+v,4,5.101888871,2.872004032,0.476172239,0.888984721,0.889342105,1500
EN,qwen3,QLoRA nf4,q+v,8,5.08723793,2.877939701,0.460928291,0.896435714,0.896842105,1500
EN,qwen3,QLoRA nf4,q+v,16,5.060823826,2.895182133,0.439322293,0.901627151,0.901973684,1500
EN,qwen3,QLoRA nf4,q+v,32,5.078264244,2.925272465,0.44476226,0.904239585,0.904605263,1500
EN,qwen3,QLoRA nf4,q+k+v,4,5.319965454,2.955824375,0.457194746,0.892186875,0.892631579,1500
EN,qwen3,QLoRA nf4,q+k+v,8,5.303115328,2.969351292,0.426117867,0.902395587,0.902631579,1500
EN,qwen3,QLoRA nf4,q+k+v,16,5.282649676,2.989080906,0.419438452,0.906093526,0.906315789,1500
EN,qwen3,QLoRA nf4,q+k+v,32,5.315047709,3.036352634,0.404185355,0.910971508,0.911315789,1500
EN,qwen3,QLoRA nf4,q+k+v+o,4,5.537730138,3.127542973,0.439876258,0.900229814,0.900526316,1500
EN,qwen3,QLoRA nf4,q+k+v+o,8,5.519595993,3.137957096,0.417233616,0.903684199,0.903947368,1500
EN,qwen3,QLoRA nf4,q+k+v+o,16,5.492749691,3.174898624,0.394630283,0.909242076,0.909473684,1500
EN,qwen3,QLoRA nf4,q+k+v+o,32,5.558444071,3.233156681,0.366976857,0.914703756,0.915,1500
EN,qwen3,QLoRA fp4,q+v,4,5.143444844,2.862238407,0.45123595,0.886374885,0.886578947,1500
EN,qwen3,QLoRA fp4,q+v,8,5.128481376,2.870127201,0.470495909,0.892380511,0.892763158,1500
EN,qwen3,QLoRA fp4,q+v,16,5.115586126,2.889322758,0.432378232,0.90218534,0.9025,1500
EN,qwen3,QLoRA fp4,q+v,32,5.136684322,2.914530277,0.409738183,0.908222569,0.908421053,1500
EN,qwen3,QLoRA fp4,q+k+v,4,5.376940815,2.954359531,0.480421692,0.882879271,0.883421053,1500
