model,method,modules,rank,time,gpu,loss,f1,accuracy,pst_dataset
qwen2.5,QLoRA nf4,q+v,16,14.67357169,3.693466187,0.376103967,0.918150279,0.918421053,3000
qwen2.5,QLoRA nf4,q+v,32,14.67003245,3.727615356,0.364719987,0.922287409,0.9225,3000
qwen2.5,QLoRA nf4,q+k+v,4,15.09739727,3.803450108,0.38283962,0.911543505,0.911842105,3000
qwen2.5,QLoRA nf4,q+k+v,8,15.0336175,3.816173553,0.363703489,0.921408161,0.921578947,3000
qwen2.5,QLoRA nf4,q+k+v,16,15.04263376,3.83536911,0.366378874,0.924555297,0.924736842,3000
qwen2.5,QLoRA nf4,q+k+v,32,15.03571833,3.875835419,0.361083269,0.925776437,0.925921053,3000
qwen2.5,QLoRA nf4,q+k+v+o,4,15.52355606,3.934013367,0.368167222,0.918711683,0.918947368,3000
qwen2.5,QLoRA nf4,q+k+v+o,8,15.31896338,3.950965881,0.385588318,0.921719062,0.921973684,3000
qwen2.5,QLoRA nf4,q+k+v+o,16,15.30415048,3.978096008,0.367731422,0.924102633,0.924342105,3000
qwen2.5,QLoRA nf4,q+k+v+o,32,15.29144562,4.039253235,0.368278414,0.928485745,0.928684211,3000
qwen2.5,QLoRA fp4,q+v,4,14.81162984,3.675100803,0.413129181,0.904930879,0.905263158,3000
qwen2.5,QLoRA fp4,q+v,8,14.76951155,3.683776855,0.371751577,0.917366005,0.917631579,3000
qwen2.5,QLoRA fp4,q+v,16,14.79720731,3.699996948,0.370620638,0.917994841,0.918289474,3000
qwen2.5,QLoRA fp4,q+v,32,14.77896494,3.728347778,0.359593242,0.918667711,0.918947368,3000
qwen2.5,QLoRA fp4,q+k+v,4,15.12824501,3.808742523,0.390222758,0.913626222,0.913947368,3000
qwen2.5,QLoRA fp4,q+k+v,8,15.14247207,3.814220428,0.379079103,0.917099223,0.917368421,3000
qwen2.5,QLoRA fp4,q+k+v,16,15.15991141,3.839092255,0.359258026,0.92068399,0.920921053,3000
qwen2.5,QLoRA fp4,q+k+v,32,15.09100785,3.877605438,0.357638568,0.92356532,0.923815789,3000
qwen2.5,QLoRA fp4,q+k+v+o,4,15.58549799,3.941520691,0.382907808,0.918042113,0.918289474,3000
qwen2.5,QLoRA fp4,q+k+v+o,8,15.74927418,3.949806213,0.382107794,0.920692709,0.920921053,3000
qwen2.5,QLoRA fp4,q+k+v+o,16,15.67699125,3.986885071,0.369723737,0.924933055,0.925131579,3000
qwen2.5,QLoRA fp4,q+k+v+o,32,15.6521969,4.040901184,0.364499837,0.926091283,0.926315789,3000
qwen2.5,baseline,,,3.636197639,3.088,263,0.489779182,0.507368421,1500
qwen2.5,LoRA,q+v,4,5.68,8.532958508,35.15625,0.873293275,0.873552632,1500
qwen2.5,LoRA,q+v,8,5.7,8.535842419,0.475830078,0.879028977,0.879342105,1500
qwen2.5,LoRA,q+v,16,5.72,8.541610241,21.484375,0.884085906,0.884210526,1500
qwen2.5,LoRA,q+v,32,5.87,8.554810524,0.497070313,0.905105299,0.905526316,1500
qwen2.5,LoRA,q+k+v,4,6.03,8.734328747,0.391357422,0.882871151,0.883157895,1500
qwen2.5,LoRA,q+k+v,8,6.03,8.738387585,0.364990234,0.892078351,0.8925,1500
qwen2.5,LoRA,q+k+v,16,6.07,8.747220039,0.382568359,0.902528191,0.902763158,1500
qwen2.5,LoRA,q+k+v,32,6.27,8.785672188,0.384277344,0.914482044,0.914736842,1500
qwen2.5,LoRA,q+k+v+o,4,6.48,8.947951794,34.0625,0.890389856,0.890657895,1500
qwen2.5,LoRA,q+k+v+o,8,6.48,8.953719616,26.4375,0.890512312,0.890394737,1500
qwen2.5,LoRA,q+k+v+o,16,6.5,8.978692055,15.5703125,0.892136397,0.8925,1500
